房间价格信息汇总
==================================================
房间号	12M价格	6-11M价格	2-5M价格	1M价格
A2111	19100	20628	21392.000000000004	23875
A2112	15584.12	16830.8496	17454.2144	19480.15
A2113	15905.460000000001	17177.896800000002	17814.115200000004	19881.825
A2115	19143.260000000002	20674.720800000003	21440.451200000003	23929.075000000004
A2116	12720.86333686803	13738.532403817473	14247.366937292194	15901.079171085037
A2117	12720.86333686803	13738.532403817473	14247.366937292194	15901.079171085037
A2118	12720.86333686803	13738.532403817473	14247.366937292194	15901.079171085037
A2119	14220	15357.6	15926.400000000001	17775
A212	15700	16956	17584	19625
A2120	15050	16254.000000000002	16856	18812.5
A2121	12720.86333686803	13738.532403817473	14247.366937292194	15901.079171085037
A2122	30368.24	32797.6992	34012.4288	37960.3
A2123	20550	22194	23016.000000000004	25687.5
A213	13871.52	14981.241600000001	15536.102400000002	17339.4
A215	13871.52	14981.241600000001	15536.102400000002	17339.4
A216	13871.52	14981.241600000001	15536.102400000002	17339.4
A217	13871.52	14981.241600000001	15536.102400000002	17339.4
A218	13871.52	14981.241600000001	15536.102400000002	17339.4
A219	24093	26020.440000000002	26984.160000000003	30116.25
A220	14738.490000000002	15917.569200000004	16507.1088	18423.112500000003
A2201	13437.070000000002	14512.035600000003	15049.518400000003	16796.3375
A2202	23200	25056	25984.000000000004	29000
A2203	12770.86333686803	13792.532403817473	14303.366937292194	15963.579171085037
A2205	12770.86333686803	13792.532403817473	14303.366937292194	15963.579171085037
A2206	12770.86333686803	13792.532403817473	14303.366937292194	15963.579171085037
A2207	12770.86333686803	13792.532403817473	14303.366937292194	15963.579171085037
A2208	12770.86333686803	13792.532403817473	14303.366937292194	15963.579171085037
A2209	12770.86333686803	13792.532403817473	14303.366937292194	15963.579171085037
A2210	15634	16884.72	17510.08	19542.5
A2211	19200	20736	21504.000000000004	24000
A2212	20075	21681	22484.000000000004	25093.75
A2213	15634	16884.72	17478.115200000004	19542.5
